step,time,u_avg_total,u_avg_cube
122400,358.952728,20.394321,28.259987
122600,359.539246,20.394312,28.249123
122800,360.125763,20.394302,28.238293
123000,360.712280,20.394291,28.227522
123200,361.298828,20.394281,28.216824
123400,361.885345,20.394272,28.206142
123600,362.471863,20.394260,28.195461
123800,363.058380,20.394251,28.184782
124000,363.644897,20.394239,28.174105
124200,364.231445,20.394228,28.163431
124400,364.817963,20.394215,28.152758
124600,365.404480,20.394203,28.142099
124800,365.990997,20.394190,28.131489
125000,366.577515,20.394178,28.120968
125200,367.164062,20.394167,28.110477
125400,367.750580,20.394156,28.099993
125600,368.337097,20.394142,28.089516
125800,368.923615,20.394131,28.079067
126000,369.510162,20.394117,28.068689
126200,370.096680,20.394106,28.058388
126400,370.683197,20.394094,28.048088
126600,371.269714,20.394083,28.037788
126800,371.856232,20.394070,28.027491
127000,372.442780,20.394058,28.017195
127200,373.029297,20.394045,28.006899
127400,373.615814,20.394032,27.996607
127600,374.202332,20.394018,27.986319
127800,374.788879,20.394005,27.976042
128000,375.375397,20.393991,27.965824
128200,375.961914,20.393976,27.955666
128400,376.548431,20.393963,27.945557
128600,377.134949,20.393948,27.935450
128800,377.721497,20.393934,27.925346
129000,378.308014,20.393919,27.915293
129200,378.894531,20.393906,27.905281
129400,379.481049,20.393892,27.895346
129600,380.067596,20.393879,27.885427
129800,380.654114,20.393866,27.875511
130000,381.240631,20.393852,27.865593
130200,381.827148,20.393839,27.855677
130400,382.413666,20.393824,27.845764
130600,383.000214,20.393810,27.835850
130800,383.586731,20.393795,27.825943
131000,384.173248,20.393780,27.816055
131200,384.759766,20.393766,27.806221
131400,385.346313,20.393751,27.796438
131600,385.932831,20.393738,27.786711
131800,386.519348,20.393723,27.776985
132000,387.105865,20.393709,27.767265
132200,387.692383,20.393694,27.757563
132400,388.278931,20.393681,27.747927
132600,388.865448,20.393665,27.738340
132800,389.451965,20.393652,27.728804
133000,390.038483,20.393639,27.719267
133200,390.625031,20.393625,27.709732
133400,391.211548,20.393610,27.700195
133600,391.798065,20.393597,27.690660
133800,392.384583,20.393581,27.681126
134000,392.971100,20.393568,27.671597
134200,393.557648,20.393553,27.662066
134400,394.144165,20.393538,27.652536
134600,394.730682,20.393522,27.643030
134800,395.317200,20.393507,27.633568
135000,395.903717,20.393492,27.624184
135200,396.490265,20.393478,27.614840
135400,397.076782,20.393463,27.605495
135600,397.663300,20.393448,27.596153
135800,398.249817,20.393433,27.586817
136000,398.836365,20.393419,27.577534
136200,399.422882,20.393404,27.568350
136400,400.009399,20.393391,27.559195
136600,400.595917,20.393377,27.550039
136800,401.182434,20.393362,27.540886
137000,401.768982,20.393349,27.531731
137200,402.355499,20.393333,27.522577
137400,402.942017,20.393320,27.513424
137600,403.528534,20.393307,27.504272
137800,404.115082,20.393293,27.495123
138000,404.701599,20.393278,27.485977
138200,405.288116,20.393265,27.476835
138400,405.874634,20.393251,27.467752
138600,406.461151,20.393238,27.458740
138800,407.047699,20.393225,27.449776
139000,407.634216,20.393211,27.440813
